"序号","文件名","订单号","图片分组","图片ID","原始路径","来源URL"
"612","0612_481173624404259926835257_img_002.jpg","481173624404259926835257","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173624404259926835257\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/5459e7cf-882d-4935-ad30-984add578923.jpg"
"613","0613_481173624404259926835257_img_003.jpg","481173624404259926835257","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173624404259926835257\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/fc0acb7d-c649-4570-be74-6daff2eabf0a.jpg"
"614","0614_481173625042082702950484_img_001.jpg","481173625042082702950484","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625042082702950484\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/94925d3a-a9be-4dfc-aae1-14266dd21ace.jpg"
"615","0615_481173625042082702950484_img_002.jpg","481173625042082702950484","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625042082702950484\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/fce3d566-4c85-4517-ab92-5434bdb4d8e3.jpg"
"616","0616_481173625042082702950484_img_003.jpg","481173625042082702950484","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625042082702950484\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/1a8b84fd-52dd-4e0a-a9cf-0be0693d8f02.jpg"
"617","0617_481173625509485019136076_img_001.jpg","481173625509485019136076","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625509485019136076\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/e27a8b3b-e82d-40bc-ba50-49a83b62be05.jpg"
"618","0618_481173625509485019136076_img_002.jpg","481173625509485019136076","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625509485019136076\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/f3430637-eb63-4824-95aa-169940392326.jpg"
"619","0619_481173625509485019136076_img_003.jpg","481173625509485019136076","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625509485019136076\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/4134b051-0ea4-41c2-8dd5-47a591852962.jpg"
"620","0620_481173625948891227750457_img_001.jpg","481173625948891227750457","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625948891227750457\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/18ea5ad0-02ba-4887-961c-34aefb47ec0c.jpg"
"621","0621_481173625948891227750457_img_002.jpg","481173625948891227750457","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173625948891227750457\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/0f222fc4-80f6-4fc1-9e77-35cb5e1ba42e.jpg"
